LA19,1,2,4,2,2,6,1,5,3,2,2,2,3,4,4,2,2,4,1,2,3,2,7,2
LA4,2,2,5,3,2,5,1,5,4,3,2,3,2,3,2,6,3,4,4,2,3,3,4,3
P3,2,2,5,3,2,5,1,5,3,3,2,3,2,3,3,9,3,4,4,2,3,3,7,3
RIVM9400207,2,2,6,4,2,5,1,7,3,5,3,4,4,2,4,2,4,4,2,2,3,3,8,4
RIVM9400594,2,2,7,4,2,5,1,1,3,4,3,4,4,2,3,2,4,4,2,2,3,2,5,4
SG2,2,2,6,2,2,4,2,4,3,5,2,1,2,5,5,4,7,3,4,5,3,4,6,3
T16,2,2,3,1,2,5,1,5,3,3,2,2,2,4,2,2,3,4,2,2,3,5,6,2
T17,2,5,4,3,2,6,2,2,3,4,3,2,1,4,10,8,4,3,2,5,3,2,7,1
T22,2,2,3,3,2,5,1,4,3,3,2,3,2,3,3,2,3,4,4,2,3,3,7,4
T25,2,5,4,3,2,6,2,2,3,4,2,2,1,4,10,9,4,3,2,4,3,2,8,1
T26,2,2,3,3,2,5,1,7,3,5,3,3,4,4,5,6,4,4,4,2,3,3,8,2
T28,2,2,3,3,2,5,1,7,3,5,3,3,4,4,3,5,3,4,4,2,3,4,8,2
T30,2,2,4,3,2,5,1,5,3,3,2,3,2,4,4,3,3,4,4,2,3,4,4,1
T31,2,5,3,3,2,6,2,2,3,4,2,2,1,4,14,8,4,3,2,6,3,2,7,1
T36,2,4,4,3,2,6,2,2,3,4,3,2,1,4,10,4,4,3,2,6,3,2,7,1
T38,2,2,3,3,2,6,1,5,3,3,2,5,2,4,2,3,3,4,2,2,3,6,5,2
T43,2,2,4,2,2,6,1,5,3,3,2,1,6,4,3,2,2,4,1,1,5,2,4,2
T46,2,5,4,3,2,6,2,2,3,4,3,2,1,4,10,9,4,3,2,6,3,2,7,1
T47,2,2,2,3,2,5,1,7,3,5,4,2,4,4,5,5,4,4,4,2,3,3,11,2
T48,2,5,4,3,2,6,2,2,3,4,3,2,1,4,9,8,4,3,2,6,3,2,7,1
T51,2,2,4,3,2,5,1,4,3,3,2,4,4,3,3,3,3,4,4,2,3,3,8,1
T60,2,2,3,3,2,6,1,5,3,3,2,5,2,4,2,3,3,4,2,2,3,6,5,2
T61,2,2,2,2,2,5,1,5,3,3,2,4,2,4,3,4,3,4,2,1,3,3,8,2
T67,2,2,2,3,2,5,1,7,3,5,4,3,4,4,4,6,4,2,4,2,3,3,8,2
T7,2,2,3,3,2,5,1,5,3,3,2,2,3,4,2,5,2,3,2,2,3,4,3,2
T78,2,2,4,3,2,5,1,4,3,3,2,4,5,4,4,2,3,4,4,2,3,3,4,3
T80,2,2,3,3,2,5,1,7,3,5,3,3,2,4,4,6,4,5,4,2,3,3,8,2
T83,3,6,4,2,2,5,2,2,3,5,3,3,5,4,5,2,6,3,2,4,3,4,6,1
T84,2,2,3,3,2,5,1,7,3,5,3,3,4,4,4,5,3,4,4,2,3,4,8,2
T85,2,2,3,3,2,5,1,7,3,5,3,3,4,4,6,6,4,4,4,2,3,3,8,2
T92,2,5,4,3,2,6,2,2,3,4,3,2,1,4,10,8,4,3,2,6,3,2,4,1
T97,2,2,2,3,2,5,1,7,3,8,3,3,4,4,5,6,4,4,4,2,3,3,8,2
T99,2,2,2,3,2,5,1,5,3,3,2,3,2,4,5,2,2,4,2,1,2,6,7,2
